gene_oid,Locus Tag,Gene Product Name,Genome ID,Genome Name,Gene Symbol,GenBank Accession,Chromosome,Start Coord,End Coord,Strand,DNA Sequence Length (bp),Amino Acid Sequence Length (aa),Locus Type,Is Pseudogene,Is Obsolete,Is Partial Gene,Add Date,Is Public,Transmembrane Helices,Signal Peptides,Scaffold ID,Scaffold External Accession,Scaffold Name,Scaffold Length (bp),Scaffold GC %,Scaffold Read Depth,COG,Pfam,Tigrfam,Enzyme,KO,IMG Term,Alt. Contact Email,Alt. Contact Name,Alt2. Contact Emails (GOLD),Alt2. Contact Names (GOLD),Altitude In Meters,Biotic Relationships,Cell Arrangement,Cell Shape,Chlorophyll concentration,Clade,Contact Email,Contact Name,Culture Type,Cultured,Depth In Meters,Diseases,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Ecotype,Energy Source,Funding Program,Funding Year,Geographic Location,GOLD Sequencing Depth,GOLD Sequencing Quality,GOLD Sequencing Strategy,GPTS Proposal ID,Gram Staining,Habitat,HMP ID,Host Gender,Host Name,Is Published,Isolation,Isolation Country,ITS Proposal ID,ITS SP ID,Latitude,Longhurst Code,Longhurst Description,Longitude,Medical Record Number,Metabolism,Motility,NCBI Bioproject Accession,NCBI Biosample Accession,Nitrate Concentration,Oxygen concentration,Oxygen Requirement,pH,Phenotype,PMO Project ID,Pressure,Project / Study Name,Proportal Isolation,Proportal Ocean,Proportal Station,Proportal WOA Dissolved Oxygen,Proportal WOA Nitrate,Proportal WOA Phosphate,Proportal WOA Salinity,Proportal WOA Silicate,Proportal WOA Temperature,Pubmed ID,Relevance,Salinity,Salinity Concentration,Sample Body Site,Sample Body Subsite,Sample Collection Date ,Sample Collection Temperature,Seq Status,Sequencing Method,Specific Ecosystem,Sporulation,Temperature Range,Type Strain,Uncultured Type,Visits,is_ca,is_dab1
2511962175,SARLGA251_03870,hypothetical protein,2511231197,Staphylococcus aureus aureus LGA251,,,,445657,448362,+,2706,901,CDS,No,No,,2/28/12,Yes,,,2511244676,FR821779,Staphylococcus aureus aureus LGA251 : FR821779,2750834.0,0.33,1.0,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,_,_,_,_,_,_,_,_,_,_,_,_,Isolate,Yes,_,_,Host-associated,Unclassified,Unclassified,Unclassified,_,_,_,_,_,_,Level 6: Finished,Whole Genome Sequencing,_,Gram+,_,_,_,Homo sapiens,Yes,_,_,_,_,_,_,_,_,_,_,_,PRJEA62883,_,_,_,_,_,_,_,_,Staphylococcus aureus aureus LGA251,_,_,_,_,_,_,_,_,_,21641281,Medical,_,_,_,_,_,_,Complete,_,Unclassified,_,_,Unknown,_,_,False,True
2688674326,Ga0123704_11367,hypothetical protein,2687453410,Staphylococcus aureus ST20130939,,,,414995,417700,+,2706,901,CDS,No,No,,7/27/16,Yes,,,2687454024,Ga0123704_11,Staphylococcus aureus ST20130939 : Ga0123704_11,2726196.0,0.33,1.0,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,_,_,_,_,_,_,_,_,_,_,_,_,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,_,_,Level 6: Finished,Whole Genome Sequencing,_,Gram+,_,_,_,_,No,26-year old man with an implant associated osteitis,France,_,_,_,_,_,_,_,_,_,PRJNA298748,SAMN04166389,_,_,_,_,_,_,_,Staphylococcus aureus ST20130939,_,_,_,_,_,_,_,_,_,_,Medical,_,_,_,_,_,_,Complete,454,_,_,_,_,_,_,False,True
650434263,Hydth_1094,Protein of unknown function DUF2309,650377953,"Hydrogenobacter thermophilus TK-6, DSM 6534",,ADO45487,,1006675,1009659,+,2985,994,CDS,No,No,,3/26/11,Yes,,,650377935,CP002221,Hydrogenobacter thermophilus TK-6: CP002221,1742932.0,0.44,,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,NCKyrpides@lbl.gov,Nikos Kyrpides,jonathan.eisen@gmail.com,Jonathan Eisen,_,Free living,"Pairs, Singles",Rod-shaped,_,_,jonathan.eisen@gmail.com,Jonathan Eisen,Isolate,Yes,_,_,Environmental,Terrestrial,Unclassified,Soil,_,Chemolithoautotroph,GEBA,2007,"Izu Peninsula, Japan","82.1x pyrosequence, 264.4x Illumina",Level 6: Finished,Whole Genome Sequencing,97601,Gram-,"Hot spring, Soil",_,_,_,Yes,"Soil near hot-spring in Izu Peninsula, Japan",Japan,867,_,34.856,_,_,138.938,_,Hydrogen oxidizer,Nonmotile,PRJNA41547,SAMN00191234,_,_,Aerobe,_,_,98009,_,"Hydrogenobacter thermophilus TK-6, DSM 6534",_,_,_,_,_,_,_,_,_,21677850,"GEBA, Tree of Life",_,_,_,_,_,_,Complete,Illumina GAIIx,Unclassified,Nonsporulating,Thermophile,Unknown,_,_,False,True
2690802095,Ga0106720_11963,hypothetical protein,2690315707,Staphylococcus aureus NRS271 GCA_001018835.1,,,,1000648,1003353,-,2706,901,CDS,No,No,,8/11/16,Yes,,,2690319121,Ga0106720_11,Staphylococcus aureus NRS271 : Ga0106720_11,2833989.0,0.33,1.0,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,_,_,_,_,_,_,_,_,_,_,_,_,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,_,_,Level 6: Finished,Whole Genome Sequencing,_,Gram+,_,_,_,_,No,wound,_,_,_,_,_,_,_,_,_,_,PRJNA231221,SAMN03255458,_,_,_,_,_,_,_,Staphylococcus aureus NRS271,_,_,_,_,_,_,_,_,_,_,Medical,_,_,_,_,_,_,Complete,"PacBio RS, Illumina",_,_,_,_,_,_,False,True
2695570094,Ga0106730_111763,hypothetical protein,2695420342,Staphylococcus aureus NRS143 GCA_001018975.1,,,,1781192,1783897,-,2706,901,CDS,No,No,,9/17/16,Yes,,,2695422758,Ga0106730_11,Staphylococcus aureus NRS143 : Ga0106730_11,2861658.0,0.33,1.0,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,_,_,_,_,_,_,_,_,_,_,_,_,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,_,_,Level 6: Finished,Whole Genome Sequencing,_,Gram+,_,_,_,_,No,_,_,_,_,_,_,_,_,_,_,_,PRJNA231221,SAMN03255469,_,_,_,_,_,_,_,Staphylococcus aureus NRS143,_,_,_,_,_,_,_,_,_,_,Medical,_,_,_,_,_,_,Complete,"PacBio RS, Illumina",_,_,_,_,_,_,False,True
2695538022,Ga0106725_112485,hypothetical protein,2695420332,Staphylococcus aureus NRS146 GCA_001019415.1,,,,2617161,2619866,+,2706,901,CDS,No,No,,9/17/16,Yes,,,2695422748,Ga0106725_11,Staphylococcus aureus NRS146 : Ga0106725_11,2697487.0,0.33,1.0,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,_,_,_,_,_,_,_,_,_,_,_,_,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,_,_,Level 6: Finished,Whole Genome Sequencing,_,Gram+,_,_,_,_,No,_,_,_,_,_,_,_,_,_,_,_,PRJNA231221,SAMN03255463,_,_,_,_,_,_,_,Staphylococcus aureus NRS146,_,_,_,_,_,_,_,_,_,_,Medical,_,_,_,_,_,_,Complete,"PacBio RS, Illumina",_,_,_,_,_,_,False,True
2527030214,SAI3T3_1003300,hypothetical protein,2526164700,Staphylococcus aureus ST228/15532,,,,448525,451230,+,2706,901,CDS,No,No,,6/10/13,Yes,,,2526185095,HE579063,Staphylococcus aureus ST228/15532 : HE579063,2759883.0,0.33,1.0,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,_,_,_,_,_,_,_,_,_,_,_,_,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,_,_,Level 6: Finished,Whole Genome Sequencing,_,Gram+,_,_,_,_,Yes,_,_,_,_,_,_,_,_,_,_,_,PRJEA71347,_,_,_,_,_,_,_,_,Staphylococcus aureus ST228/15532,_,_,_,_,_,_,_,_,_,22720005,_,_,_,_,_,_,_,Complete,_,_,_,_,Unknown,_,_,False,True
2511771610,TC41_0728,hypothetical protein,2511231141,Alicyclobacillus acidocaldarius acidocaldarius Tc-4-1,,,,738261,739328,+,1068,355,CDS,No,No,,2/28/12,Yes,,,2511244561,CP002902,Alicyclobacillus acidocaldarius acidocaldarius Tc-4-1 : CP002902,3124048.0,0.62,1.0,,pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,NCKyrpides@lbl.gov,Nikos Kyrpides,nckyrpides@lbl.gov; husn@big.ac.cn,Nikos Kyrpides; Songnian Hu,_,Free living,_,Rod-shaped,_,_,husn@big.ac.cn,Songnian Hu,Isolate,Yes,_,_,Environmental,Aquatic,Unclassified,Thermal springs,_,_,_,_,"Tengchong, China",_,Level 6: Finished,Whole Genome Sequencing,_,Gram+,"Aquatic, Hot spring",_,_,_,Yes,"hot spring in Tengchong, Yunnan, China",China,_,_,25.07,_,_,98.5,_,_,_,PRJNA68273,_,_,_,Aerobe,_,Acidophile,_,_,Alicyclobacillus acidocaldarius acidocaldarius Tc-4-1,_,_,_,_,_,_,_,_,_,21914900,Biotechnological,_,_,_,_,_,_,Complete,454 GS FLX,Unclassified,Sporulating,Thermophile,Unknown,_,_,False,True
2687690935,Ga0133419_11423,hypothetical protein,2687453158,Staphylococcus aureus ZJ5499,,,,472393,475098,+,2706,901,CDS,No,No,,7/27/16,Yes,,,2687453570,Ga0133419_11,Staphylococcus aureus ZJ5499 : Ga0133419_11,2848095.0,0.33,1.0,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,_,_,_,_,_,_,_,_,_,_,_,_,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,_,_,Level 6: Finished,Whole Genome Sequencing,_,Gram+,_,_,_,_,No,blood,China,_,_,30.3,_,_,120.2,_,_,_,PRJNA285271,SAMN03742530,_,_,_,_,_,_,_,Staphylococcus aureus ZJ5499,_,_,_,_,_,_,_,_,_,_,Medical,_,_,_,_,_,_,Complete,Illumina,_,_,_,_,_,_,False,True
2818642701,Ga0198850_112745,hypothetical protein,2816332599,Staphylococcus xylosus S170,,,,2779543,2782191,-,2649,882,CDS,No,No,,1/28/19,Yes,,,2816371812,Ga0198850_11,Staphylococcus xylosus S170 : Ga0198850_11,2910005.0,0.33,1.0,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,_,_,_,_,_,_,_,_,_,_,_,_,Isolate,Yes,_,_,Host-associated,Plants,_,_,_,_,_,_,_,_,Level 6: Finished,Whole Genome Sequencing,_,Gram+,_,_,_,_,No,leaf vegetable,South Korea,_,_,_,_,_,_,_,_,_,PRJNA307611,SAMN04383932,_,_,_,_,_,_,_,Staphylococcus xylosus S170,_,_,_,_,_,_,_,_,_,_,Medical,_,_,_,_,_,_,Complete,_,_,_,_,_,_,_,False,True
2688744825,Ga0133492_12531,hypothetical protein,2687453427,Staphylococcus aureus V605,,,,549408,552113,+,2706,901,CDS,No,No,,7/27/16,Yes,,,2687454050,Ga0133492_12,Staphylococcus aureus V605 : Ga0133492_12,3089367.0,0.33,1.0,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,_,_,_,_,_,_,_,_,_,_,_,_,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,Korea: Cheonju,_,Level 6: Finished,Whole Genome Sequencing,_,Gram+,_,_,_,_,No,blood,South Korea,_,_,36.63,_,_,127.32,_,_,_,PRJNA300829,SAMN04219581,_,_,_,_,_,_,_,Staphylococcus aureus V605,_,_,_,_,_,_,_,_,_,_,Medical,_,_,_,_,_,_,Complete,PacBio RS II,_,_,_,_,_,_,False,True
2778014548,Ga0263382_122835,hypothetical protein,2775507228,Staphylococcus nepalensis JS11,,,,2808480,2811086,-,2607,868,CDS,No,No,,4/16/18,Yes,,,2775620505,Ga0263382_12,Staphylococcus nepalensis JS11 : Ga0263382_12,2941886.0,0.33,1.0,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,_,_,_,_,_,_,_,_,_,_,_,_,Isolate,Yes,_,_,_,_,_,_,_,_,_,_,South Korea,_,Level 6: Finished,Whole Genome Sequencing,_,Gram+,_,_,_,_,No,Korean fermented food,South Korea,_,_,_,_,_,_,_,_,_,PRJNA344825,SAMN05846264,_,_,_,_,_,_,_,Staphylococcus nepalensis JS11,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,Complete,PacBio RS,_,_,_,_,_,_,False,True
2506378009,HydHO_1094,hypothetical protein,2506210034,Hydrogenobaculum sp. HO,,,,1008585,1011470,-,2886,961,CDS,No,No,,5/28/11,Yes,,,2506229425,Contig477,Hydrogenobaculum sp. HO ((Finished QAed)) : Contig477,1552931.0,0.35,1.0,"COG3002 - Uncharacterized conserved protein YbcC, UPF0753/DUF2309 family<br/><br/>",pfam10070 - DUF2309<br/><br/>,,,KO:K09822 - K09822; uncharacterized protein<br/><br/>,,NCKyrpides@lbl.gov,Nikos Kyrpides,timmcder@montana.edu,Timothy McDermott,_,Free living,_,Rod-shaped,_,_,timmcder@montana.edu,Timothy McDermott,Isolate,Yes,_,_,Environmental,Aquatic,Unclassified,Thermal springs,_,_,DD,2007,Yellowstone National Park,_,Level 6: Finished,Whole Genome Sequencing,50015,Gram-,"Fresh water, Sediment",_,_,_,Yes,"Acidic geothermal spring sediment, Yellowstone National Park",USA,_,_,_,_,_,_,_,_,Motile,PRJNA41741,SAMN02232031,_,_,Aerobe,_,_,16085,_,Hydrogenobaculum sp. HO,_,_,_,_,_,_,_,_,_,23435891,Biotechnological,_,_,_,_,_,_,Complete,_,Unclassified,Nonsporulating,Thermophile,Unknown,_,_,False,True
